"Match_ID","Season","City","Team1","Team2","Toss_Winner","Toss_Decision","Runs_Team1","Runs_Team2","Winner","Player_of_Match","Venue"
1,2016,"Delhi","Rajasthan Royals","Mumbai Indians","Mumbai Indians","Bat",172,208,"Mumbai Indians","Rohit Sharma","Eden Gardens"
2,2018,"Mohali","Rajasthan Royals","KKR","Delhi Capitals","Field",179,214,"KKR","Virat Kohli","Rajiv Gandhi Stadium"
3,2018,"Bangalore","RCB","Mumbai Indians","Sunrisers Hyderabad","Bat",149,124,"RCB","David Warner","Chepauk Stadium"
4,2016,"Kolkata","Punjab Kings","Chennai Super Kings","Punjab Kings","Field",215,123,"Punjab Kings","KL Rahul","Rajiv Gandhi Stadium"
5,2021,"Bangalore","RCB","Chennai Super Kings","Delhi Capitals","Bat",219,168,"RCB","Hardik Pandya","Rajiv Gandhi Stadium"
6,2016,"Delhi","Chennai Super Kings","Mumbai Indians","RCB","Field",123,125,"Mumbai Indians","Hardik Pandya","Rajiv Gandhi Stadium"
7,2017,"Hyderabad","Chennai Super Kings","RCB","Mumbai Indians","Bat",160,176,"RCB","Rohit Sharma","Rajiv Gandhi Stadium"
8,2018,"Jaipur","Punjab Kings","Mumbai Indians","Chennai Super Kings","Bat",169,180,"Mumbai Indians","MS Dhoni","Rajiv Gandhi Stadium"
9,2015,"Mumbai","RCB","Chennai Super Kings","Delhi Capitals","Field",197,202,"Chennai Super Kings","Andre Russell","Chinnaswamy Stadium"
10,2021,"Bangalore","Delhi Capitals","RCB","Sunrisers Hyderabad","Bat",217,155,"Delhi Capitals","David Warner","Wankhede Stadium"
11,2015,"Bangalore","KKR","Mumbai Indians","Mumbai Indians","Field",166,168,"Mumbai Indians","Hardik Pandya","Chinnaswamy Stadium"
12,2024,"Jaipur","Punjab Kings","Mumbai Indians","RCB","Bat",126,152,"Mumbai Indians","KL Rahul","Feroz Shah Kotla"
13,2017,"Mumbai","Punjab Kings","Sunrisers Hyderabad","Delhi Capitals","Field",195,212,"Sunrisers Hyderabad","KL Rahul","Feroz Shah Kotla"
14,2015,"Mohali","Mumbai Indians","Punjab Kings","Delhi Capitals","Bat",186,173,"Mumbai Indians","Virat Kohli","Chinnaswamy Stadium"
15,2015,"Delhi","Chennai Super Kings","Rajasthan Royals","RCB","Field",147,136,"Chennai Super Kings","David Warner","Eden Gardens"
16,2023,"Bangalore","RCB","Chennai Super Kings","Chennai Super Kings","Field",152,142,"RCB","Virat Kohli","Feroz Shah Kotla"
17,2016,"Kolkata","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Bat",210,182,"Sunrisers Hyderabad","David Warner","Wankhede Stadium"
18,2018,"Chennai","Delhi Capitals","Punjab Kings","Delhi Capitals","Bat",150,121,"Delhi Capitals","KL Rahul","Chepauk Stadium"
19,2021,"Kolkata","RCB","KKR","Punjab Kings","Field",163,210,"KKR","David Warner","Rajiv Gandhi Stadium"
20,2018,"Kolkata","RCB","Sunrisers Hyderabad","Mumbai Indians","Bat",219,191,"RCB","Virat Kohli","Eden Gardens"
21,2024,"Chennai","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Bat",160,184,"Sunrisers Hyderabad","KL Rahul","Feroz Shah Kotla"
22,2022,"Chennai","KKR","Delhi Capitals","Mumbai Indians","Field",184,180,"KKR","Rohit Sharma","Chepauk Stadium"
23,2023,"Mumbai","Mumbai Indians","Delhi Capitals","KKR","Bat",169,193,"Delhi Capitals","KL Rahul","Wankhede Stadium"
24,2023,"Mohali","Mumbai Indians","Delhi Capitals","RCB","Field",168,123,"Mumbai Indians","MS Dhoni","Eden Gardens"
25,2019,"Jaipur","Delhi Capitals","Chennai Super Kings","Mumbai Indians","Field",192,179,"Delhi Capitals","MS Dhoni","Chinnaswamy Stadium"
26,2023,"Jaipur","RCB","Mumbai Indians","Chennai Super Kings","Bat",178,149,"RCB","AB de Villiers","Eden Gardens"
